Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431789.4890373,7759,1574431789,488277912,,-5.0,28.08,0.0
1574431789.5376499,7760,1574431789,536603927,,-5.0,28.08,0.0
1574431789.584959,7761,1574431789,584496974,,-5.042857142857143,28.782,0.0
1574431789.633777,7762,1574431789,632890939,,-5.128571428571429,28.782,0.0
1574431789.6815252,7763,1574431789,680614948,,-5.171428571428572,29.484,0.0
1574431789.7448921,7764,1574431789,744421958,,-5.328571428571428,28.782,0.0
1574431789.7934034,7765,1574431789,792674064,,-5.885714285714286,30.186,0.0
1574431789.8420289,7766,1574431789,840662956,,-6.414285714285715,29.484,0.0
1574431789.88923,7767,1574431789,888632059,,-6.5,30.186,0.0
1574431789.937831,7768,1574431789,936698913,,-6.5,30.186,0.0
1574431789.9855814,7769,1574431789,984715938,,-6.5,30.888,0.0
1574431790.0335987,7770,1574431790,32654047,,-6.485714285714286,30.888,0.0
1574431790.080944,7771,1574431790,80529928,,-6.485714285714286,30.888,0.0
1574431790.1452515,7772,1574431790,144701004,,-6.485714285714286,30.888,0.0
1574431790.1936235,7773,1574431790,192908048,,-6.485714285714286,31.59,0.0
1574431790.2413118,7774,1574431790,240803003,,-6.442857142857143,32.292,0.0
1574431790.290292,7775,1574431790,288964986,,-6.442857142857143,31.59,0.0
1574431790.337784,7776,1574431790,337147951,,-6.442857142857143,32.292,0.0
1574431790.3852184,7777,1574431790,384632110,,-6.371428571428571,32.994,0.0
1574431790.4356377,7778,1574431790,434221029,,-6.3428571428571425,32.292,0.0
1574431790.4982078,7779,1574431790,497234106,,-6.3428571428571425,32.994,0.0
1574431790.5454936,7780,1574431790,544946908,,-6.3428571428571425,32.994,0.0
1574431790.5942838,7781,1574431790,592982053,,-6.3428571428571425,33.696,0.0
1574431790.64172,7782,1574431790,641084909,,-6.3428571428571425,33.696,0.0
1574431790.6897495,7783,1574431790,689095020,,-6.3428571428571425,33.696,0.0
1574431790.7382896,7784,1574431790,737515926,,-6.328571428571428,35.1,0.0
1574431790.7862253,7785,1574431790,785048961,,-6.328571428571428,33.696,0.0
1574431790.8341894,7786,1574431790,833113908,,-6.328571428571428,35.1,0.0
1574431790.898107,7787,1574431790,897023916,,-6.328571428571428,35.1,0.0
1574431790.9455798,7788,1574431790,945012092,,-6.328571428571428,34.398,0.0
1574431790.994297,7789,1574431790,993117094,,-6.328571428571428,35.1,0.0
